Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp,,
5/25/2016 15:00,0,19.15854,22.40001,28.48293,10.45853,8.429267,8.273173,13.55778,,
5/25/2016 16:00,1,24.45334,28.72832,36.39668,13.56666,10.80333,10.6,13.51664,,
5/25/2016 17:00,2,24.49335,28.77167,36.37835,14.11334,10.9,10.6,13.48307,,
5/25/2016 18:00,3,24.45001,28.70334,36.37502,14.265,10.9,10.59667,13.2858,,
5/25/2016 19:00,4,24.42501,28.75001,36.40668,13.83667,10.97833,10.57833,13.3731,,
5/25/2016 20:00,5,24.45334,28.75,36.44668,13.44,11.02833,10.6,13.16072,,
5/25/2016 21:00,6,24.42168,28.71832,36.39668,13.13667,11.1,10.575,13.08349,,
5/25/2016 22:00,7,24.34668,28.70333,36.37502,12.65834,11.15334,10.6,13.03481,,
5/25/2016 23:00,8,24.35668,28.67499,36.37502,12.18333,11.20001,10.6,12.98948,,
5/26/2016 0:00,9,24.37168,28.69332,36.425,11.63001,11.20001,10.6,12.95674,,
5/26/2016 1:00,10,24.40001,28.68166,36.375,11.13667,11.20001,10.6,12.92736,,
5/26/2016 2:00,11,24.40001,28.77501,36.40001,10.65834,11.20001,10.6,12.89042,,
5/26/2016 3:00,12,24.37501,28.75332,36.40001,10.20834,11.20001,10.6,12.8644,,
5/26/2016 4:00,13,24.40001,28.69666,36.40001,9.736669,11.20001,10.6,12.82914,,
5/26/2016 5:00,14,24.37167,28.74999,36.40001,9.393327,11.14666,10.6,12.81152,,
5/26/2016 6:00,15,24.32835,28.69332,36.37835,9.193336,11.1,10.6,12.78633,,
5/26/2016 7:00,16,24.40001,28.63165,36.36835,8.989999,11.02167,10.6,12.79809,,
5/26/2016 8:00,17,24.40001,28.69999,36.35334,8.746674,10.97167,10.6,13.12127,,
5/26/2016 9:00,18,24.35001,28.69332,36.375,8.756661,10.89667,10.6,13.64424,,
5/26/2016 10:00,19,24.39668,28.60665,36.45,8.985001,10.79999,10.6,13.55358,,
5/26/2016 11:00,20,24.32835,28.59333,36.37502,9.366666,10.72167,10.6,13.50321,,
5/26/2016 12:00,21,24.37501,28.59999,36.37835,9.976668,10.67167,10.6,13.49146,,
5/26/2016 13:00,22,24.32167,28.55,36.44666,10.915,10.6,10.6,13.48475,,
5/26/2016 14:00,23,24.24665,28.65332,36.35003,12.35334,10.59667,10.6,13.45704,,
5/26/2016 15:00,24,24.22499,28.65331,36.37502,13.92501,10.55334,10.6,13.42766,,
5/26/2016 16:00,25,24.16832,28.56833,36.32502,15.19833,10.6,10.6,13.4369,,
5/26/2016 17:00,26,24.05665,28.58166,36.37502,15.38667,10.6,10.54666,13.46628,,
5/26/2016 18:00,27,24.12499,28.56833,36.37169,14.96501,10.67834,10.5,13.43018,,
5/26/2016 19:00,28,24.09333,28.52166,36.32835,14.715,10.75333,10.5,13.20773,,
5/26/2016 20:00,29,24.10666,28.53498,36.36835,14.33667,10.87834,10.5,13.12295,,
