Time,Record,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Smp
5/25/2016 16:00,1,23.94333,29.60332,34.45001,14.185,11.70001,11.4,13.47467
5/25/2016 17:00,2,23.92501,29.59666,34.5,14.67334,11.70334,11.4,13.42431
5/25/2016 18:00,3,23.85333,29.62498,34.47501,15.2,11.79999,11.4,13.29084
5/25/2016 19:00,4,23.87501,29.59998,34.49667,14.855,11.79999,11.4,13.40836
5/25/2016 20:00,5,23.79668,29.57499,34.45333,14.41833,11.85334,11.4,13.1624
5/25/2016 21:00,6,23.82502,29.54999,34.475,14.13667,11.9,11.4,13.05411
5/25/2016 22:00,7,23.79334,29.59998,34.5,13.68333,11.95333,11.4,13.00123
5/25/2016 23:00,8,23.80667,29.62832,34.45001,13.155,12,11.4,12.95758
5/26/2016 0:00,9,23.72165,29.57166,34.45001,12.55834,12.00333,11.4,12.92148
5/26/2016 1:00,10,23.82501,29.54999,34.47167,12.03,12.1,11.4,12.8963
5/26/2016 2:00,11,23.88168,29.57499,34.47833,11.50833,12.1,11.4,12.86692
5/26/2016 3:00,12,23.92168,29.59998,34.47501,11.03334,12.1,11.4,12.8367
5/26/2016 4:00,13,23.87168,29.59998,34.475,10.53667,12.1,11.4,12.80648
5/26/2016 5:00,14,23.78835,29.57499,34.5,10.215,12.02167,11.42833,12.7813
5/26/2016 6:00,15,24.01834,29.59998,34.475,9.943333,12,11.42167,12.75947
5/26/2016 7:00,16,23.985,29.59998,34.5,9.743339,11.97167,11.47833,12.78465
5/26/2016 8:00,17,24.16499,29.59665,34.42168,9.496668,11.9,11.475,13.27656
5/26/2016 9:00,18,23.95001,29.58165,34.45,9.531666,11.84666,11.5,13.55862
5/26/2016 10:00,19,23.97834,29.59665,34.45333,9.863331,11.79666,11.42167,13.4923
5/26/2016 11:00,20,23.95668,29.57166,34.45001,10.42667,11.70001,11.4,13.45033
5/26/2016 12:00,21,23.91167,29.57832,34.49667,11.23,11.64666,11.4,13.44781
5/26/2016 13:00,22,23.69332,29.55,34.45333,12.26166,11.6,11.4,13.43858
5/26/2016 14:00,23,23.64999,29.59998,34.47501,13.39,11.52167,11.4,13.4092
5/26/2016 15:00,24,23.57166,29.59665,34.42501,14.55834,11.5,11.4,13.3731
5/26/2016 16:00,25,23.49667,29.525,34.44668,15.50499,11.5,11.4,13.40332
5/26/2016 17:00,26,23.37501,29.54999,34.42501,16.07832,11.5,11.39667,13.41507
5/26/2016 18:00,27,23.32501,29.57832,34.40335,16.04999,11.57833,11.29999,13.36471
5/26/2016 19:00,28,23.29665,29.59998,34.42168,16.14667,11.60333,11.29999,13.18674
5/26/2016 20:00,29,23.22166,29.57166,34.40002,15.80832,11.70334,11.29999,13.10196
5/26/2016 21:00,30,23.19999,29.57832,34.42501,15.22667,11.79999,11.29999,13.03229
5/26/2016 22:00,31,23.19999,29.49667,34.40002,14.50167,11.87834,11.29999,12.98108
5/26/2016 23:00,32,23.17832,29.52499,34.40002,13.77667,11.95333,11.29999,12.93743
5/27/2016 0:00,33,23.27501,29.54999,34.42834,13.155,12,11.29999,12.90637
